18.558,12.785,15.042
10.973,15.516,18.62
11.06,17.427,18.942
19.152,15.496,17.485
11.308,12.738,17.331
16.667,12.222,19.995
20.425,17.618,12.497
16.556,16.051,13.41
12.825,19.238,13
20.417,12.374,12.574
13.603,11.671,10.61
19.687,13.197,11.377
12.138,19.809,10.72
21.226,11.178,12.6
17.6,12.836,12.964
19.879,16.411,11.911
17.496,18.381,11.506
19.597,16.75,14.098
16.657,15.959,18.893
17.339,11.161,10.135
16.582,18.788,18.781
12.715,17.72,18.372
19.844,14.169,12.011
16.046,13.37,19.548
13.132,18.325,14.531
14.116,17.103,17.676
22.395,19.743,10.068
20.311,11.913,13.222
18.772,12.339,14.96
15.371,17.194,14.466
17.794,12.974,14.137
13.319,18.255,13.062
16.125,15.578,17.459
22.926,17.963,11.169
18.763,19.421,16.343
21.977,13.977,13.515
15.749,19.479,18.595
18.228,11.839,15.831
18.684,13.899,15.129
20.092,16.589,13.196
19.097,19.285,11.459
21.94,15.975,13.591
18.897,16.096,14.386
14.63,15.47,18.027
20.061,13.985,17.076
21.315,16.497,10.763
16.307,15.522,18.032
15.427,13.29,17.347
22.115,12.324,15.619
23.124,11.146,18.935
23.768,16.009,17.839
22.07,17.801,16.124
16.972,17.251,11.961
21.451,18.628,12.051
20.247,18.657,12.347
24.979,13.423,10.798
24.229,17.918,15.776
17.391,17.316,16.344
23.79,16.421,18.266
16.392,17.758,18.307
19.679,11.527,10.292
17.176,13.056,19.706
24.915,10.512,13.753
18.236,17.667,10.126
24.525,19.284,18.336
17.517,17.532,14.74
19.555,14.283,14.231
21.523,15.908,15.677
20.331,14.158,19.659
24.917,19.949,10.237
17.604,14.87,17.875
19.369,12.978,19.784
20.261,10.344,13.243
21.064,15.856,11.704
18.111,11.26,16.909
21.831,17.239,16.419
23.932,11.372,13.507
26.868,10.728,12.813
27.565,15.294,16.182
21.863,11.204,16.101
22.376,17.574,10.283
28.131,12.974,11.449
27.941,15.016,19.777
26.868,19.969,16.573
